model,role,task,run,found,total,false_positives,latency_s,input_tokens,output_tokens,cost,pi_status,thinking,minor_found,minor_total
anthropic/claude-opus-5,test,test-integration,1,0,0,1,133,124075,9542,0.404976,0,high,0,0
anthropic/claude-opus-5,test,test-no-test,1,0,0,0,28,53296,2014,0.143757,0,high,0,0
openai-codex/gpt-5.6-terra,test,test-defects,1,3,5,0,57,29599,2674,0.059030,0,high,2,2
openai-codex/gpt-5.6-terra,test,test-integration,1,0,0,0,25,26146,842,0.031983,0,high,0,0
openai-codex/gpt-5.6-terra,test,test-no-test,1,0,0,0,9,11220,181,0.016318,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-defects,1,4,5,0,120,50360,5977,0.276742,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-integration,1,0,0,0,45,61734,1097,0.129612,0,high,0,0
openai-codex/gpt-5.6-sol,test,test-no-test,1,0,0,0,17,17525,474,0.055765,0,high,0,0
openai-codex/gpt-5.6-luna,test,test-defects,1,3,5,0,71,44073,3438,0.007318,0,high,2,2
openai-codex/gpt-5.6-luna,test,test-integration,1,0,0,0,33,30109,1106,0.004308,0,high,0,0
openai-codex/gpt-5.6-luna,test,test-no-test,1,0,0,0,18,24617,508,0.002676,0,high,0,0
ollama-cloud/kimi-k2.6,test,test-defects,1,2,5,1,76,27492,3863,0.041569,0,high,1,2
ollama-cloud/kimi-k2.6,test,test-integration,1,0,0,0,115,81345,6926,0.104982,0,high,0,0
ollama-cloud/kimi-k2.6,test,test-no-test,1,0,0,0,11,16592,337,0.017110,0,high,0,0
ollama-cloud/kimi-k2.7-code,test,test-defects,1,3,5,0,29,60993,3511,0.071987,0,high,1,2
ollama-cloud/kimi-k2.7-code,test,test-integration,1,0,0,0,27,41680,3207,0.052424,0,high,0,0
ollama-cloud/kimi-k2.7-code,test,test-no-test,1,0,0,0,5,10912,352,0.011774,0,high,0,0
ollama-cloud/glm-5.2,test,test-defects,1,3,5,0,17,26435,2911,0.049817,0,high,2,2
ollama-cloud/glm-5.2,test,test-integration,1,0,0,0,24,18709,1616,0.033303,0,high,0,0
ollama-cloud/glm-5.2,test,test-no-test,1,0,0,0,4,11687,237,0.017405,0,high,0,0
ollama-cloud/deepseek-v4-flash:0731,test,test-defects,1,3,5,0,40,91379,8503,0.015174,0,high,2,2
ollama-cloud/deepseek-v4-flash:0731,test,test-integration,1,0,0,0,29,46772,4118,0.007701,0,high,0,0
ollama-cloud/deepseek-v4-flash:0731,test,test-no-test,1,0,0,0,7,25044,547,0.003659,0,high,0,0
ollama-cloud/minimax-m3,test,test-defects,1,4,5,0,35,49896,2241,0.017658,0,high,2,2
ollama-cloud/minimax-m3,test,test-defects,1,1,5,0,78,128244,5544,0.045126,0,xhigh,1,2
ollama-cloud/minimax-m3,test,test-integration,1,0,0,0,41,68378,2276,0.023245,0,high,0,0
ollama-cloud/minimax-m3,test,test-no-test,1,0,0,0,10,18215,436,0.005988,0,high,0,0
ollama-cloud/deepseek-v4-pro:0813,test,test-defects,1,4,5,0,45,79671,6980,0.000000,0,high,2,2
ollama-cloud/deepseek-v4-pro:0813,test,test-integration,1,0,0,0,18,43631,2245,0.000000,0,high,0,0
ollama-cloud/deepseek-v4-pro:0813,test,test-no-test,1,0,0,0,8,25292,525,0.000000,0,high,0,0
anthropic/claude-sonnet-5,test,test-defects,1,3,5,0,97,90872,8308,0.138345,0,medium,2,2
anthropic/claude-sonnet-5,test,test-defects,2,4,5,0,203,200771,18108,0.277155,0,high,2,2
anthropic/claude-sonnet-5,test,test-defects,3,4,5,0,221,146832,19990,0.267189,0,high,2,2
anthropic/claude-sonnet-5,test,test-integration,2,0,0,0,63,88847,4767,0.101330,0,high,0,0
anthropic/claude-sonnet-5,test,test-integration,3,0,0,0,84,106490,6866,0.121332,0,high,0,0
anthropic/claude-sonnet-5,test,test-no-test,2,0,0,0,6,27190,283,0.034042,0,high,0,0
anthropic/claude-sonnet-5,test,test-no-test,3,0,0,0,6,27197,345,0.034684,0,high,0,0
ollama-cloud/deepseek-v4-pro:0813,test,test-defects,2,3,5,0,34,59678,6207,0.000000,0,high,2,2
ollama-cloud/deepseek-v4-pro:0813,test,test-defects,3,3,5,0,42,69016,7052,0.000000,0,high,2,2
ollama-cloud/deepseek-v4-pro:0813,test,test-defects,1,3,5,0,21,46194,3610,0.000000,0,medium,2,2
ollama-cloud/glm-5.2,test,test-defects,1,3,5,0,64,78946,10900,0.158484,0,xhigh,2,2
openai-codex/gpt-5.6-sol,test,test-defects,2,4,5,0,117,45933,4672,0.250017,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-defects,3,5,5,0,126,64417,4144,0.248261,0,high,2,2
openai-codex/gpt-5.6-sol,test,test-defects,1,5,5,0,97,37033,2983,0.164063,0,medium,2,2
openai-codex/gpt-5.6-sol,test,test-defects,2,3,5,0,61,36229,1940,0.158705,0,medium,2,2
